	id	name
0	DB00001	Lepirudin
1	DB00002	Cetuximab
2	DB00003	Dornase alfa
3	DB00004	Denileukin diftitox
4	DB00005	Etanercept
5	DB00006	Bivalirudin
6	DB00007	Leuprolide
7	DB00008	Peginterferon alfa-2a
8	DB00009	Alteplase
9	DB00010	Sermorelin
10	DB00011	Interferon alfa-n1
11	DB00012	Darbepoetin alfa
12	DB00013	Urokinase
13	DB00014	Goserelin
14	DB00015	Reteplase
15	DB00016	Erythropoietin
16	DB00017	Salmon calcitonin
17	DB00018	Interferon alfa-n3
18	DB00019	Pegfilgrastim
19	DB00020	Sargramostim
20	DB00022	Peginterferon alfa-2b
21	DB00023	Asparaginase Escherichia coli
22	DB00024	Thyrotropin alfa
23	DB00025	Antihemophilic factor, human recombinant
24	DB00026	Anakinra
25	DB00027	Gramicidin D
26	DB00028	Human immunoglobulin G
27	DB00029	Anistreplase
28	DB00030	Insulin human
29	DB00031	Tenecteplase
30	DB00032	Menotropins
31	DB00033	Interferon gamma-1b
32	DB00034	Interferon alfa-2a
33	DB00035	Desmopressin
34	DB00036	Coagulation factor VIIa Recombinant Human
35	DB00038	Oprelvekin
36	DB00039	Palifermin
37	DB00040	Glucagon
38	DB00041	Aldesleukin
39	DB00042	Botulinum toxin type B
40	DB00043	Omalizumab
41	DB00044	Lutropin alfa
42	DB00045	Lyme disease vaccine (recombinant OspA)
43	DB00046	Insulin lispro
44	DB00047	Insulin glargine
45	DB00048	Collagenase clostridium histolyticum
46	DB00049	Rasburicase
47	DB00050	Cetrorelix
48	DB00051	Adalimumab
49	DB00052	Somatotropin
50	DB00053	Imiglucerase
51	DB00054	Abciximab
52	DB00055	Drotrecogin alfa
53	DB00056	Gemtuzumab ozogamicin
54	DB00057	Indium In-111 satumomab pendetide
55	DB00058	Alpha-1-proteinase inhibitor
56	DB00059	Pegaspargase
57	DB00060	Interferon beta-1a
58	DB00061	Pegademase
59	DB00062	Albumin human
60	DB00063	Eptifibatide
61	DB00065	Infliximab
62	DB00066	Follitropin
63	DB00067	Vasopressin
64	DB00068	Interferon beta-1b
65	DB00069	Interferon alfacon-1
66	DB00070	Hyaluronidase (ovine)
67	DB00071	Insulin pork
68	DB00072	Trastuzumab
69	DB00073	Rituximab
70	DB00074	Basiliximab
71	DB00075	Muromonab
72	DB00076	Digoxin Immune Fab (Ovine)
73	DB00078	Ibritumomab tiuxetan
74	DB00080	Daptomycin
75	DB00081	Tositumomab
76	DB00082	Pegvisomant
77	DB00083	Botulinum toxin type A
78	DB00085	Pancrelipase
79	DB00086	Streptokinase
80	DB00087	Alemtuzumab
81	DB00088	Alglucerase
82	DB00089	Capromab pendetide
83	DB00090	Laronidase
84	DB00091	Cyclosporine
85	DB00092	Alefacept
86	DB00093	Felypressin
87	DB00094	Urofollitropin
88	DB00095	Efalizumab
89	DB00097	Choriogonadotropin alfa
90	DB00098	Antithymocyte immunoglobulin (rabbit)
91	DB00099	Filgrastim
92	DB00100	Coagulation Factor IX (Recombinant)
93	DB00102	Becaplermin
94	DB00103	Agalsidase beta
95	DB00104	Octreotide
96	DB00105	Interferon alfa-2b
97	DB00106	Abarelix
98	DB00107	Oxytocin
99	DB00108	Natalizumab
100	DB00109	Enfuvirtide
101	DB00110	Palivizumab
102	DB00111	Daclizumab
103	DB00112	Bevacizumab
104	DB00113	Technetium Tc-99m arcitumomab
105	DB00114	Pyridoxal phosphate
106	DB00115	Cyanocobalamin
107	DB00116	Tetrahydrofolic acid
108	DB00117	Histidine
109	DB00118	Ademetionine
110	DB00119	Pyruvic acid
111	DB00120	Phenylalanine
112	DB00121	Biotin
113	DB00122	Choline
114	DB00123	Lysine
115	DB00125	Arginine
116	DB00126	Ascorbic acid
117	DB00127	Spermine
118	DB00128	Aspartic acid
119	DB00129	Ornithine
120	DB00130	L-Glutamine
121	DB00131	Adenosine phosphate
122	DB00132	alpha-Linolenic acid
123	DB00133	Serine
124	DB00134	Methionine
125	DB00135	Tyrosine
126	DB00136	Calcitriol
127	DB00137	Lutein
128	DB00138	Cystine
129	DB00139	Succinic acid
130	DB00140	Riboflavin
131	DB00141	N-Acetylglucosamine
132	DB00142	Glutamic acid
133	DB00143	Glutathione
134	DB00144	Phosphatidyl serine
135	DB00145	Glycine
136	DB00146	Calcifediol
137	DB00147	Pyridoxal
138	DB00148	Creatine
139	DB00149	Leucine
140	DB00150	Tryptophan
141	DB00151	Cysteine
142	DB00152	Thiamine
143	DB00153	Ergocalciferol
144	DB00154	Dihomo-gamma-linolenic acid
145	DB00155	Citrulline
146	DB00156	Threonine
147	DB00157	NADH
148	DB00158	Folic acid
149	DB00159	Icosapent
150	DB00160	Alanine
151	DB00161	Valine
152	DB00162	Vitamin A
153	DB00163	Vitamin E
154	DB00165	Pyridoxine
155	DB00166	Lipoic acid
156	DB00167	Isoleucine
157	DB00168	Aspartame
158	DB00169	Cholecalciferol
159	DB00170	Menadione
160	DB00171	ATP
161	DB00172	Proline
162	DB00173	Adenine
163	DB00174	Asparagine
164	DB00175	Pravastatin
165	DB00176	Fluvoxamine
166	DB00177	Valsartan
167	DB00178	Ramipril
168	DB00179	Masoprocol
169	DB00180	Flunisolide
170	DB00181	Baclofen
171	DB00182	Amphetamine
172	DB00183	Pentagastrin
173	DB00184	Nicotine
174	DB00185	Cevimeline
175	DB00186	Lorazepam
176	DB00187	Esmolol
177	DB00188	Bortezomib
178	DB00189	Ethchlorvynol
179	DB00190	Carbidopa
180	DB00191	Phentermine
181	DB00192	Indecainide
182	DB00193	Tramadol
183	DB00194	Vidarabine
184	DB00195	Betaxolol
185	DB00196	Fluconazole
186	DB00197	Troglitazone
187	DB00198	Oseltamivir
188	DB00199	Erythromycin
189	DB00200	Hydroxocobalamin
190	DB00201	Caffeine
191	DB00202	Succinylcholine
192	DB00203	Sildenafil
193	DB00204	Dofetilide
194	DB00205	Pyrimethamine
195	DB00206	Reserpine
196	DB00207	Azithromycin
197	DB00208	Ticlopidine
198	DB00209	Trospium
199	DB00210	Adapalene
200	DB00211	Midodrine
201	DB00212	Remikiren
202	DB00213	Pantoprazole
203	DB00214	Torasemide
204	DB00215	Citalopram
205	DB00216	Eletriptan
206	DB00217	Bethanidine
207	DB00218	Moxifloxacin
208	DB00219	Oxyphenonium
209	DB00220	Nelfinavir
210	DB00221	Isoetharine
211	DB00222	Glimepiride
212	DB00223	Diflorasone
213	DB00224	Indinavir
214	DB00225	Gadodiamide
215	DB00226	Guanadrel
216	DB00227	Lovastatin
217	DB00228	Enflurane
218	DB00229	Cefotiam
219	DB00230	Pregabalin
220	DB00231	Temazepam
221	DB00232	Methyclothiazide
222	DB00233	Aminosalicylic acid
223	DB00234	Reboxetine
224	DB00235	Milrinone
225	DB00236	Pipobroman
226	DB00237	Butabarbital
227	DB00238	Nevirapine
228	DB00239	Oxiconazole
229	DB00240	Alclometasone
230	DB00241	Butalbital
231	DB00242	Cladribine
232	DB00243	Ranolazine
233	DB00244	Mesalazine
234	DB00245	Benzatropine
235	DB00246	Ziprasidone
236	DB00247	Methysergide
237	DB00248	Cabergoline
238	DB00249	Idoxuridine
239	DB00250	Dapsone
240	DB00251	Terconazole
241	DB00252	Phenytoin
242	DB00253	Medrysone
243	DB00254	Doxycycline
244	DB00255	Diethylstilbestrol
245	DB00256	Lymecycline
246	DB00257	Clotrimazole
247	DB00258	Calcium acetate
248	DB00259	Sulfanilamide
249	DB00260	Cycloserine
250	DB00261	Anagrelide
251	DB00262	Carmustine
252	DB00263	Sulfisoxazole
253	DB00264	Metoprolol
254	DB00265	Crotamiton
255	DB00266	Dicoumarol
256	DB00267	Cefmenoxime
257	DB00268	Ropinirole
258	DB00269	Chlorotrianisene
259	DB00270	Isradipine
260	DB00271	Diatrizoate
261	DB00272	Betazole
262	DB00273	Topiramate
263	DB00274	Cefmetazole
264	DB00275	Olmesartan
265	DB00276	Amsacrine
266	DB00277	Theophylline
267	DB00278	Argatroban
268	DB00279	Liothyronine
269	DB00280	Disopyramide
270	DB00281	Lidocaine
271	DB00282	Pamidronic acid
272	DB00283	Clemastine
273	DB00284	Acarbose
274	DB00285	Venlafaxine
275	DB00286	Conjugated estrogens
276	DB00287	Travoprost
277	DB00288	Amcinonide
